Quarter,Number of Removed Holdings (from Previous Quarter),Number of Added Holdings (in Current Quarter),Total Holdings in the Current Quarter,Turnover Rate (%)
2023-03-31,59,104,156,104.48717948717949
2023-06-30,74,77,159,94.9685534591195
2023-09-30,58,118,219,80.36529680365297
2023-12-31,103,116,232,94.39655172413794
2024-03-31,96,114,250,84.0
2024-06-30,140,201,311,109.64630225080386
2024-09-30,110,144,345,73.62318840579711
2024-12-31,122,166,389,74.03598971722364
2025-03-31,121,222,490,70.0
2025-06-30,226,174,438,91.32420091324201
2025-09-30,140,248,546,71.06227106227107
